databaze,schemat,tabulka,sloupec,poradi_ve_tabulce,datovy_typ,max_delka,ciselna_presnost,ciselna_mista,je_nullovatelny,vychozi_hodnota,je_identity
postgres,public,audit_log,entity_label,15,text,null,null,null,true,null,false
postgres,public,audit_log,action,16,text,null,null,null,false,null,false
postgres,public,audit_log,severity,17,text,null,null,null,false,'info'::text,false
postgres,public,audit_log,success,18,boolean,null,null,null,false,true,false
postgres,public,audit_log,message,19,text,null,null,null,true,null,false
postgres,public,audit_log,diff,20,jsonb,null,null,null,true,null,false
postgres,public,audit_log,meta,21,jsonb,null,null,null,true,null,false
postgres,public,document_versions,id,1,uuid,null,null,null,false,gen_random_uuid(),false
postgres,public,document_versions,document_id,2,uuid,null,null,null,false,null,false
postgres,public,document_versions,version_number,3,integer,null,32,0,false,null,false
postgres,public,document_versions,file_path,4,text,null,null,null,false,null,false
postgres,public,document_versions,file_name,5,text,null,null,null,false,null,false
postgres,public,document_versions,mime_type,6,text,null,null,null,true,null,false
postgres,public,document_versions,file_size,7,bigint,null,64,0,true,null,false
postgres,public,document_versions,is_archived,8,boolean,null,null,null,false,false,false
postgres,public,document_versions,created_at,9,timestamp with time zone,null,null,null,false,now(),false
postgres,public,document_versions,created_by,10,uuid,null,null,null,true,auth.uid(),false
postgres,public,document_versions,title,11,text,null,null,null,true,null,false
postgres,public,document_versions,description,12,text,null,null,null,true,null,false
postgres,public,document_versions,updated_at,13,timestamp with time zone,null,null,null,true,null,false
postgres,public,document_versions,updated_by,14,uuid,null,null,null,true,null,false
postgres,public,documents,id,1,uuid,null,null,null,false,gen_random_uuid(),false
postgres,public,documents,entity_type,2,text,null,null,null,false,null,false
postgres,public,documents,entity_id,3,uuid,null,null,null,false,null,false
postgres,public,documents,title,4,text,null,null,null,false,null,false
postgres,public,documents,description,5,text,null,null,null,true,null,false
postgres,public,documents,is_archived,6,boolean,null,null,null,false,false,false
postgres,public,documents,created_at,7,timestamp with time zone,null,null,null,false,now(),false
postgres,public,documents,created_by,8,uuid,null,null,null,true,auth.uid(),false
postgres,public,documents,updated_at,9,timestamp with time zone,null,null,null,true,null,false
postgres,public,documents,updated_by,10,uuid,null,null,null,true,null,false
postgres,public,meta_field_catalog,database_name,1,text,null,null,null,true,null,false
postgres,public,meta_field_catalog,table_schema,2,text,null,null,null,true,null,false
postgres,public,meta_field_catalog,table_name,3,text,null,null,null,true,null,false
postgres,public,meta_field_catalog,column_name,4,text,null,null,null,true,null,false
postgres,public,meta_field_catalog,ordinal_position,5,integer,null,32,0,true,null,false
postgres,public,meta_field_catalog,data_type,6,text,null,null,null,true,null,false
postgres,public,meta_field_catalog,character_maximum_length,7,integer,null,32,0,true,null,false
postgres,public,meta_field_catalog,numeric_precision,8,integer,null,32,0,true,null,false
postgres,public,meta_field_catalog,numeric_scale,9,integer,null,32,0,true,null,false
postgres,public,meta_field_catalog,is_nullable,10,boolean,null,null,null,true,null,false
postgres,public,meta_field_catalog,column_default,11,text,null,null,null,true,null,false
postgres,public,meta_field_catalog,is_identity,12,boolean,null,null,null,true,null,false
postgres,public,meta_field_catalog,column_comment,13,text,null,null,null,true,null,false
postgres,public,meta_field_values,table_schema,1,text,null,null,null,true,null,false
postgres,public,meta_field_values,table_name,2,text,null,null,null,true,null,false
postgres,public,meta_field_values,column_name,3,text,null,null,null,true,null,false
postgres,public,meta_field_values,row_identifier,4,text,null,null,null,true,null,false
postgres,public,meta_field_values,value_text,5,text,null,null,null,true,null,false
postgres,public,payment_types,code,1,text,null,null,null,false,null,false
postgres,public,payment_types,name,2,text,null,null,null,false,null,false
postgres,public,payment_types,description,3,text,null,null,null,true,null,false
postgres,public,payment_types,color,4,text,null,null,null,true,null,false
postgres,public,payment_types,icon,5,text,null,null,null,true,null,false
postgres,public,payment_types,order_index,6,integer,null,32,0,true,null,false
postgres,public,payment_types,active,7,boolean,null,null,null,true,true,false
postgres,public,permission_types,code,1,text,null,null,null,false,null,false
postgres,public,permission_types,name,2,text,null,null,null,false,null,false
postgres,public,permission_types,color,3,text,null,null,null,true,null,false
postgres,public,permission_types,icon,4,text,null,null,null,true,null,false
postgres,public,permission_types,order_index,5,integer,null,32,0,true,null,false
postgres,public,permission_types,active,6,boolean,null,null,null,false,true,false
postgres,public,permission_types,description,7,text,null,null,null,true,null,false
postgres,public,property_types,id,1,uuid,null,null,null,false,gen_random_uuid(),false
postgres,public,property_types,code,2,text,null,null,null,false,null,false
postgres,public,property_types,name,3,text,null,null,null,false,null,false
postgres,public,property_types,color,4,text,null,null,null,true,null,false
postgres,public,property_types,icon,5,text,null,null,null,true,null,false
postgres,public,property_types,order_index,6,integer,null,32,0,false,0,false
postgres,public,property_types,created_at,7,timestamp with time zone,null,null,null,true,now(),false
postgres,public,property_types,updated_at,8,timestamp with time zone,null,null,null,true,now(),false
postgres,public,property_types,description,9,text,null,null,null,true,null,false
postgres,public,property_types,active,10,boolean,null,null,null,true,true,false
postgres,public,role_permissions,role_code,1,text,null,null,null,false,null,false
postgres,public,role_permissions,permission_code,2,text,null,null,null,false,null,false
postgres,public,role_types,code,1,text,null,null,null,false,null,false
postgres,public,role_types,name,2,text,null,null,null,false,null,false
postgres,public,role_types,color,3,text,null,null,null,true,null,false
postgres,public,role_types,icon,4,text,null,null,null,true,null,false
postgres,public,role_types,order_index,5,integer,null,32,0,true,null,false
postgres,public,role_types,active,6,boolean,null,null,null,false,true,false
postgres,public,role_types,description,7,text,null,null,null,true,null,false
postgres,public,subject_invites,id,1,uuid,null,null,null,false,gen_random_uuid(),false
postgres,public,subject_invites,invite_mode,2,text,null,null,null,false,null,false
postgres,public,subject_invites,subject_id,3,uuid,null,null,null,true,null,false
postgres,public,subject_invites,email,4,text,null,null,null,true,null,false
postgres,public,subject_invites,role_code,5,text,null,null,null,false,null,false
postgres,public,subject_invites,status,6,text,null,null,null,false,'pending'::text,false
postgres,public,subject_invites,note,7,text,null,null,null,true,null,false
postgres,public,subject_invites,created_at,8,timestamp with time zone,null,null,null,false,now(),false
postgres,public,subject_invites,created_by,9,uuid,null,null,null,true,null,false
postgres,public,subject_invites,sent_at,10,timestamp with time zone,null,null,null,true,null,false
postgres,public,subject_invites,expires_at,11,timestamp with time zone,null,null,null,true,(now() + '7 days'::interval),false
postgres,public,subject_invites,accepted_at,12,timestamp with time zone,null,null,null,true,null,false
postgres,public,subject_invites,canceled_at,13,timestamp with time zone,null,null,null,true,null,false
postgres,public,subject_invites,display_name,14,text,null,null,null,true,null,false
postgres,public,subject_permissions,subject_id,1,uuid,null,null,null,false,null,false
postgres,public,subject_permissions,permission_code,2,text,null,null,null,false,null,false
postgres,public,subject_roles,subject_id,1,uuid,null,null,null,false,null,false
postgres,public,subject_roles,role_code,2,text,null,null,null,false,null,false
postgres,public,subject_types,code,1,text,null,null,null,false,null,false
postgres,public,subject_types,name,2,text,null,null,null,false,null,false
postgres,public,subject_types,description,3,text,null,null,null,true,null,false
postgres,public,subject_types,order_index,4,integer,null,32,0,true,null,false
postgres,public,subject_types,icon,5,text,null,null,null,true,null,false
postgres,public,subject_types,color,6,text,null,null,null,true,null,false
postgres,public,subject_types,active,7,boolean,null,null,null,false,true,false
postgres,public,subject_types,sort_order,8,integer,null,32,0,true,null,false
postgres,public,subjects,id,1,uuid,null,null,null,false,gen_random_uuid(),false
postgres,public,subjects,subject_type,2,text,null,null,null,false,null,false
postgres,public,subjects,auth_user_id,3,uuid,null,null,null,true,null,false
postgres,public,subjects,title_before,4,text,null,null,null,true,null,false
